index,year,month,cpi_food_away_from_home,Flour_wpu0212,Mozzarella Cheese_wpu023302122,Tomato Sauce_wpu02440127,Pepperoni_wpu0221050322,Olive Oil_wpu01830181,Green Pepper_wpu01130228,Sausage_wpu02210503,Bacon_wpu0221044724,Ham_wpu0221044722,Salt_wpu02890156,Sugar_wpu025,Water_wpu02620608,fed_int_rate,us_gdp_m,us_umemploy_r,electricity_kwh,reg_gasoline,fnb_shops_emp,home_price_idx
0,2000,1,107.5,112.9,0,116.8,0,0,226.8,0,0,0,0,133.6,0,5.45,13878.15,5.22,0.116,1.32,321.6,100
1,2000,2,107.9,112.7,0,116.1,0,0,210.3,0,0,0,0,132.6,0,5.73,13962.4,5.22,0.116,1.41,326.8,100.37
2,2000,3,107.9,113,0,115.6,0,0,220.5,0,0,0,0,132.9,0,5.85,14046.66,5.21,0.116,1.72,329.5,102.2
3,2000,4,108,112.6,0,114.8,0,0,220.1,0,0,0,0,132.8,0,6.02,14130.91,5.21,0.116,1.72,332.3,103.78
4,2000,5,108.1,112.9,0,115.1,0,0,228.3,0,0,0,0,132.9,0,6.27,14135.71,5.21,0.117,1.63,335.2,105.22
5,2000,6,108.1,113.7,0,115.4,0,0,246.8,0,0,0,0,133,0,6.53,14140.51,5.2,0.116,1.6,337.8,106.4
6,2000,7,108.7,113.3,0,115.2,0,0,189.7,0,0,0,0,132.7,0,6.54,14145.31,5.2,0.116,1.67,338.8,107.37
7,2000,8,109.3,113.4,0,115.7,0,0,229.9,0,0,0,0,132,0,6.5,14173.46,5.2,0.116,1.6,341,108.2
8,2000,9,110,113.8,0,116.1,0,0,250.9,0,0,0,0,132,0,6.52,14201.61,5.19,0.116,1.74,341.5,109.11
9,2000,10,110.5,116.1,0,116.1,0,0,250.2,0,0,0,0,132.2,0,6.51,14229.76,5.19,0.116,1.76,336.8,109.76
10,2000,11,111,115.1,0,116.1,0,0,252.9,0,0,0,0,132.2,0,6.51,14214.21,5.19,0.116,1.72,337,110.86
11,2000,12,111.1,115.5,0,116.1,0,0,187,0,0,0,0,132.2,0,6.4,14198.67,5.18,0.116,1.63,339.9,111.18
12,2001,1,111.3,115.7,0,116.2,0,0,360.2,0,0,0,0,134,0,5.98,14183.12,5.18,0.124,1.56,333.4,111.78
13,2001,2,111.4,116.2,0,116.2,0,0,439.2,0,0,0,0,135.7,0,5.49,14212.64,5.18,0.125,1.61,337.8,112.33
14,2001,3,111.6,117.4,0,116.2,0,0,472.6,0,0,0,0,135.5,0,5.31,14242.17,5.17,0.125,1.65,340.6,113.86
15,2001,4,111.8,117.8,0,116.2,0,0,248,0,0,0,0,135.2,0,4.8,14271.69,5.17,0.126,1.78,342.9,115.41
16,2001,5,112.4,118.5,0,116.4,0,0,189.2,0,0,0,0,135.5,0,4.21,14252.63,5.17,0.129,2,346.8,116.4
17,2001,6,112.6,118.8,0,116.5,0,0,157.7,100,0,0,0,135.2,0,3.97,14233.58,5.16,0.172,1.98,348.9,117.93
18,2001,7,113.8,118.7,0,117.8,0,0,166.2,100.3,0,0,0,135.6,0,3.77,14214.52,5.16,0.172,1.82,348.3,119.04
19,2001,8,114.3,118.1,0,118.8,0,0,196.1,100.1,0,0,0,136,0,3.65,14227.54,5.16,0.175,1.58,348.3,120.78
20,2001,9,115.3,118.4,0,118.9,0,0,195.4,100.1,0,0,0,136.1,0,3.07,14240.55,5.15,0.175,1.6,347.1,121.7
21,2001,10,115.4,120,0,119.3,0,0,206.2,99.9,0,0,0,137.2,0,2.49,14253.57,5.15,0.176,1.46,346.8,122.48
22,2001,11,115.4,119.9,0,119.4,0,0,109,98.8,0,0,0,137.9,0,2.09,14293.31,5.15,0.176,1.29,346.9,122.9
23,2001,12,115.5,119.5,0,119.4,0,0,0,98.6,0,0,0,138.7,0,1.82,14333.04,5.14,0.179,1.1,346.4,123.27
24,2002,1,115.5,119.8,0,119.4,0,0,0,97.1,0,0,0,139.7,0,1.73,14372.78,5.14,0.179,1.19,340.8,124.25
25,2002,2,115.8,119.8,0,119.4,0,0,75.5,96.4,0,0,0,140.4,0,1.74,14402.14,5.14,0.179,1.33,343.4,125.15
26,2002,3,116.3,120.5,0,119.4,0,0,227.4,97.5,0,0,0,141,0,1.73,14431.49,5.13,0.179,1.53,345.5,127.37
27,2002,4,116.9,118.3,0,119.7,0,0,160.3,98.2,0,0,0,141.2,0,1.75,14460.85,5.13,0.179,1.63,351.8,130.16
28,2002,5,117.1,119.1,0,119.7,0,0,229.9,96.9,0,0,0,140.9,0,1.75,14480.44,5.13,0.179,1.56,356.9,132.97
29,2002,6,117.6,119.5,0,119.7,0,0,0,95.3,0,0,0,141.9,0,1.75,14500.04,5.12,0.179,1.57,358.5,136.16
30,2002,7,117.7,122.2,0,119.7,0,0,219,96.8,0,0,0,143,0,1.73,14519.63,5.12,0.179,1.58,354.8,138.63
31,2002,8,118.1,123.7,0,123.1,0,0,236.6,98,0,0,0,142.8,0,1.74,14525.61,5.12,0.179,1.59,356.2,141.36
32,2002,9,118.8,126.5,0,123,0,0,0,96.7,0,0,0,143.3,0,1.75,14531.6,5.11,0.179,1.58,355.9,143.5
33,2002,10,119.1,128.1,0,123.2,0,0,0,96.3,0,0,0,143.6,0,1.75,14537.58,5.11,0.18,1.52,353.5,145.71
34,2002,11,119.7,126.7,0,122.5,0,0,159.8,95.4,0,0,0,143.3,0,1.34,14563.1,5.11,0.18,1.57,353.7,147.52
35,2002,12,119.8,125.2,0,122.5,0,0,194.4,95.3,0,0,0,144.8,0,1.24,14588.62,5.1,0.18,1.52,355.9,148.75
36,2003,1,119.9,128.1,0,122.5,0,0,309.8,95.8,0,0,0,147.5,0,1.24,14614.14,5.1,0.18,1.6,348.6,149.95
37,2003,2,120.2,129.7,0,122.9,0,0,263.6,96.8,0,0,0,148.9,0,1.26,14657.28,5.1,0.18,1.84,351.6,151.1
38,2003,3,120.4,129,0,122.9,0,0,160,96.9,0,0,0,149,0,1.25,14700.43,5.09,0.18,2.12,355.3,153.13
39,2003,4,120.4,128.9,0,123.7,0,0,135.8,98.3,0,0,0,148.7,0,1.26,14743.57,5.09,0.169,2.08,359.2,155.83
40,2003,5,120.5,130,0,123.9,0,0,181.6,99,0,0,0,148.7,0,1.26,14825.31,5.09,0.162,1.84,362.3,158.59
41,2003,6,121.2,129.7,0,123.8,0,0,201.8,99.3,0,0,0,148.7,0,1.22,14907.04,5.08,0.152,1.72,365.8,161.89
42,2003,7,121.3,128.6,0,123.8,0,0,271.3,100.5,0,0,0,149.1,0,1.01,14988.78,5.08,0.152,1.69,364.3,165.27
43,2003,8,121.4,130.2,0,123.7,0,0,248.7,100.6,0,0,0,149.1,0,1.03,15046.77,5.08,0.133,1.87,365.3,169.61
44,2003,9,121.8,129.4,0,125.3,0,0,230.6,100.8,0,0,0,148.6,0,1.01,15104.77,5.07,0.133,2.04,365.8,173.17
45,2003,10,122.3,127.7,0,125.3,0,0,212.5,101.6,0,0,0,148.5,0,1.01,15162.76,5.07,0.138,1.85,364.3,176.14
46,2003,11,122.7,129.8,0,125.5,0,0,199.5,101.7,0,0,0,148.7,0,1,15191.4,5.07,0.138,1.72,364.8,178.67
47,2003,12,122.9,130.6,0,125.5,0,0,171.8,101.9,0,0,0,149,100,0.98,15220.04,5.06,0.138,1.67,366.8,181.52
48,2004,1,123.9,131.1,0,125.6,0,0,326.3,101.5,0,0,0,148.8,100,1,15248.68,5.06,0.136,1.72,361.1,184.77
49,2004,2,124,132,0,125.5,0,0,216.7,100.5,0,0,0,149.3,100,1.01,15288.07,5.06,0.133,1.94,365.5,188.23
50,2004,3,124.1,131.6,0,126,0,0,316.1,102.3,0,0,0,149.7,100,1,15327.46,5.05,0.133,2.15,368.8,194.48
51,2004,4,124.7,131.4,0,126,0,0,186.8,104,0,0,0,149.7,100,1,15366.85,5.05,0.133,2.18,369,201.46
52,2004,5,124.8,133.9,0,125.6,0,0,183.1,104.5,0,0,0,150.2,100,1,15415.44,5.05,0.133,2.29,372.3,208.37
